年度,年產量(production quantity tonnes)公噸,生產者價格(美元/噸),加拿大出口量(公噸),加拿大出口值(千美元),加拿大進口量(公噸),加拿大進口值(千美元),全球進口值(千美元),全球進口量(公噸),全球出口值(千美元),加拿大GDP per capita (current US$),"加拿大Population, total",台灣出口值(千美元),台灣關稅,哥斯大黎加關稅,美國關稅,宏都拉斯關稅,墨西哥關稅,瓜地馬拉關稅,台灣-加拿大出口值(千美元),台灣對加拿大的距離
2016,-,-,157,771,118539,99174,2471803, - ,1931378,42157.928,36286425,38845,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,11,12090.98
2017, - , - , - , - , - , - , - , - , - , - , - , - ,-,-,-,-,-,-, - ,-
2018, - , - , - , - , - , - , - , - , - , - , - , - ,-,-,-,-,-,-, - ,-
2019, - , - , - , - , - , - , - , - , - , - , - , - ,-,-,-,-,-,-, - ,-
2020, - , - , - , - , - , - , - , - , - , - , - , - ,-,-,-,-,-,-, - ,-
2021, - , - , - , - , - , - , - , - , - , - , - , - ,-,-,-,-,-,-, - ,-
2022, - , - , - , - , - , - , - , - , - , - , - , - ,-,-,-,-,-,-, - ,-
2023, - , - , - , - , - , - , - , - , - , - , - , - ,-,-,-,-,-,-, - ,-
2024, - , - , - , - , - , - , - , - , - , - , - , - ,-,-,-,-,-,-, - ,-
2025, - , - , - , - , - , - , - , - , - , - , - , - ,-,-,-,-,-,-, - ,-
2026, - , - , - , - , - , - , - , - , - , - , - , - ,-,-,-,-,-,-, - ,-
