年度,年產量(production quantity tonnes)公噸,生產者價格(美元/噸),巴林出口量(公噸),巴林出口值(千美元),巴林進口量(公噸),巴林進口值(千美元),全球進口值(千美元),全球進口量(公噸),全球出口值(千美元),巴林GDP per capita (current US$),"巴林Population, total",台灣出口值(千美元),台灣關稅,菲律賓關稅,印度關稅,巴拿馬關稅,斯里蘭卡關稅,迦納關稅,台灣-巴林出口值(千美元),台灣對巴林的距離
2006,-,-,18,14,373,233,1875986,2297317,1325617,19307.995492,958414,630,-,-,-,-,-,-,0,-
2007,-,-,30,22,390,286,2142214,2531499,1423936,20977.110526,1035891,579,-,-,-,-,-,-,0,-
2008,-,-,41,71,415,378,2326573,2412032,1542620,23067.565347,1114590,740,-,-,-,-,-,-,0,-
2009,-,-,106,110,550,459,2093817,2493947,1323182,19356.672356,1185029,1429,-,-,-,-,-,-,0,-
2010,-,-,64,36,493,474,2201958,2709938,1524182,20722.10389,1240862,2086,-,-,-,-,-,-,0,-
2011,-,-,37,34,1354,1689,2388527,2845406,1698474,22810.102419,1278269,2734,-,-,-,-,-,-,0,-
2012,-,-,136,87,1573,1992,2333459,2965645,1712281,23649.366614,1300217,3507,-,-,-,-,-,-,0,-
2013,-,-,69,42,1771,2042,2430625,3036505,1817576,25010.183291,1315411,4934,-,-,-,-,-,-,0,-
2014,-,-,54,29,2239,2613,2601581,3223667,1877026,24983.379015,1336397,9181,-,-,-,-,-,-,0,-
2015,-,-,89,53,2280,2761,2322571,2948556,1671253,22688.878244,1371855,26407,-,-,-,-,-,-,0,-
2016,-,-,111,151,2113,2199,2471803, - ,1931378,22354.167071,1425171,38845,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1,7018.359
2017, - , - , - , - , - , - , - , - ,-, - , - , - ,-,-,-,-,-,-, - ,-
2018, - , - , - , - , - , - , - , - ,-, - , - , - ,-,-,-,-,-,-, - ,-
2019, - , - , - , - , - , - , - , - ,-, - , - , - ,-,-,-,-,-,-, - ,-
2020, - , - , - , - , - , - , - , - ,-, - , - , - ,-,-,-,-,-,-, - ,-
2021, - , - , - , - , - , - , - , - ,-, - , - , - ,-,-,-,-,-,-, - ,-
2022, - , - , - , - , - , - , - , - ,-, - , - , - ,-,-,-,-,-,-, - ,-
2023, - , - , - , - , - , - , - , - ,-, - , - , - ,-,-,-,-,-,-, - ,-
2024, - , - , - , - , - , - , - , - ,-, - , - , - ,-,-,-,-,-,-, - ,-
2025, - , - , - , - , - , - , - , - ,-, - , - , - ,-,-,-,-,-,-, - ,-
2026, - , - , - , - , - , - , - , - ,-, - , - , - ,-,-,-,-,-,-, - ,-
