年度,年產量(production quantity tonnes)公噸,生產者價格(美元/噸),阿聯出口量(公噸),阿聯出口值(千美元),阿聯進口量(公噸),阿聯進口值(千美元),全球進口值(千美元),全球進口量(公噸),全球出口值(千美元),阿聯GDP per capita (current US$),"阿聯Population, total",台灣出口值(千美元),台灣關稅,菲律賓關稅,馬來西亞關稅,斯里蘭卡關稅,印度關稅,印尼關稅,台灣-阿聯出口值(千美元),台灣對阿聯的距離
2001,-,-,-,-,-,-,730617,1161837,523322,31061.52935,3326032,860,-,-,-,-,-,-,0,-
2002,-,-,-,-,-,-,918224,1320366,644176,31311.35936,3507232,378,-,-,-,-,-,-,0,-
2003,-,-,-,-,-,-,1176071,1455636,811520,33230.52318,3741932,788,-,-,-,-,-,-,0,-
2004,-,-,-,-,-,-,1372314,1713517,983929,36161.17061,4087931,970,-,-,-,-,-,-,0,-
2005,-,-,2258,883,8462,6992,1505646,1954169,1143160,39439.80197,4579562,1097,-,-,-,-,-,-,0,-
2006,-,-,-,-,-,-,1875986,2297317,1325617,42372.22166,5242032,630,-,-,-,-,-,-,0,-
2007,-,-,6499,3018,24415,15128,2142214,2531499,1423936,42672.61323,6044067,579,-,-,-,-,-,-,0,-
2008,-,-,7536,3858,26468,19483,2326573,2412032,1542620,45758.90554,6894278,740,-,-,-,-,-,-,0,-
2009,-,-,-,-,-,-,2093817,2493947,1323182,33072.57517,7666393,1429,-,-,-,-,-,-,0,-
2010,-,-,-,-,-,-,2201958,2709938,1524182,35049.14832,8270684,2086,-,-,-,-,-,-,0,-
2011,-,-,-,-,-,-,2388527,2845406,1698474,40462.31209,8672475,2734,-,-,-,-,-,-,0,-
2012,-,-,12544,9255,40914,30741,2333459,2965645,1712281,42112.23565,8900453,3507,-,-,-,-,-,-,0,-
2013,-,-,12089,9858,46021,34710,2430625,3036505,1817576,43350.64268,9006263,4934,-,-,-,-,-,-,0,-
2014,-,-,11149,9674,48138,37275,2601581,3223667,1877026,44449.74035,9070867,9181,-,-,-,-,-,-,0,-
2015,-,-,6264,4283,49011,38474,2322571,2948556,1671253,39101.74689,9154302,26407,-,-,-,-,-,-,1,-
2016,-,-,5047,3962,42095,34012,2471803,-,1931378,37622.20746,9269612,38845,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1,6706.356
2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2018,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2019,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2021,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2024,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2026,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
