年度,年產量(production quantity tonnes)公噸,生產者價格(美元/噸),日本出口量(公噸),日本出口值(千美元),日本進口量(公噸),日本進口值(千美元),全球進口值(千美元),全球進口量(公噸),全球出口值(千美元),日本GDP per capita (current US$),"日本Population, total",台灣出口值(千美元),台灣關稅,菲律賓關稅,哥斯大黎加關稅,印度尼西亞關稅,馬來西亞關稅,美國關稅,台灣-日本出口值(千美元),台灣對日本的距離
2009,9620,935.1, - ,0,143990,110998,2093817,2493947,1323182,40855.17564,128047000,1429,-,-,-,-,-,-,774,-
2010,8780,943.3,0,3,142585,112058,2201958,2709938,1524182,44507.67639,128070000,2086,-,-,-,-,-,-,1037,-
2011,6350,974.9,87,88,152877,127495,2388527,2845406,1698474,48167.99727,127833000,2734,-,-,-,-,-,-,982,-
2012,6260,1140.5,-,0,174045,142525,2333459,2965645,1712281,48603.47665,127629000,3507,-,-,-,-,-,-,772,-
2013,6590,1064.6,-,0,181197,118009,2430625,3036505,1817576,40454.44746,127445000,4934,-,-,-,-,-,-,935,-
2014,7130,1053.4,-,0,166320,117387,2601581,3223667,1877026,38096.21151,127276000,9181,-,-,-,-,-,-,1097,-
2015,7660,1164.9,7,36,150621,109385,2322571,2948556,1671253,34474.13736,127141000,26407,-,-,-,-,-,-,1673,-
2016,7800,1348.4,7,44,143173,127033,2471803, - ,1931378,38894.46773,126994511,38845,12.10%,9.50%,12.10%,11.10%,11.10%,12.10%,1550,2103.047
2017, - , - , - , - , - , - , - , - ,-, - , - , - ,-,-,-,-,-,-, - ,-
2018, - , - , - , - , - , - , - , - ,-, - , - , - ,-,-,-,-,-,-, - ,-
2019, - , - , - , - , - , - , - , - ,-, - , - , - ,-,-,-,-,-,-, - ,-
2020, - , - , - , - , - , - , - , - ,-, - , - , - ,-,-,-,-,-,-, - ,-
2021, - , - , - , - , - , - , - , - ,-, - , - , - ,-,-,-,-,-,-, - ,-
2022, - , - , - , - , - , - , - , - ,-, - , - , - ,-,-,-,-,-,-, - ,-
2023, - , - , - , - , - , - , - , - ,-, - , - , - ,-,-,-,-,-,-, - ,-
2024, - , - , - , - , - , - , - , - ,-, - , - , - ,-,-,-,-,-,-, - ,-
2025, - , - , - , - , - , - , - , - ,-, - , - , - ,-,-,-,-,-,-, - ,-
2026, - , - , - , - , - , - , - , - ,-, - , - , - ,-,-,-,-,-,-, - ,-
